类别,伽马GR/API,钍TH/ppm,铀U/ppm,钾K/%,光电吸收截面指数Pe/bam*e-1,中子CNL/%,密度DEN/cm3
玄武质,28.018,3.2711,0.7314,0.643,3.9755,17.0085,2.594956
玄武质,49.65,1.6136,0.8699,1.5022,5.0743,21.6034,2.76272
玄武质,34.781,4.4102,1.6903,0.6677,3.0268,19.505,2.755
玄武质,39.696,6.8874,1.4561,1.2269,5.4603,18.4904,2.698113
玄武质,56.154,4.7706,0.8075,0.6037,4.5435,15.1031,2.547454
玄武质,35.527,3.064,1.2518,0.5158,5.7992,21.6291,2.501725
玄武质,42.464,6.5255,1.4708,0.8833,6.677,19.0805,2.796104
玄武质,17.864,2.1937,1.0311,1.5413,4.9187,16.0854,2.72217
玄武质,43.109,1.2212,0.8324,1.2531,4.6624,18.6881,2.667624
玄武质,2.775,2.441,1.6337,1.3942,3.2011,17.9401,2.695354
玄武质,57.231,0.7931,1.4693,1.3948,6.7538,20.3705,2.79846
玄武质,22.715,3.0216,1.2299,1.6674,5.7334,17.318,2.614904
玄武质,47.837,1.4379,1.1267,1.1328,5.6024,20.3927,2.713547
玄武质,12.808,1.5707,0.8333,1.5794,6.096,19.8384,2.619217
玄武质,4.404,2.4834,1.2094,1.4129,4.6883,18.5893,2.558856
玄武质,18.763,1.5415,0.9297,0.7539,3.1653,15.0912,2.49862
玄武质,3.875,1.8877,1.1949,1.2275,3.3525,21.4238,2.655994
玄武质,54.681,4.2757,1.1989,0.5459,5.1804,19.0152,2.679041
玄武质,11.306,0.1454,1.3775,1.0939,6.04,21.6929,2.799932
玄武质,19.101,0.4184,1.0495,1.6049,5.3869,19.4848,2.793389
玄武质,31.663,5.0428,0.9936,0.7771,3.8515,14.4274,2.609862
玄武质,55.776,2.8581,1.5595,1.6723,5.5218,15.262,2.569712
玄武质,41.745,2.3644,1.6057,0.6558,6.1858,16.3311,2.65847
玄武质,15.733,5.1103,1.0363,0.9574,4.0625,17.8781,2.587395
玄武质,4.688,4.7013,1.6063,1.448,6.1511,15.0882,2.575807
玄武质,2.208,6.2656,0.7885,1.6223,5.716,18.0707,2.668309
玄武质,34.392,4.4091,1.1857,0.8592,4.5884,18.7951,2.629472
玄武质,31.722,6.9374,1.3571,1.3848,3.1096,18.1163,2.603202
玄武质,50.713,1.9633,1.3843,1.1046,3.7337,21.4865,2.793558
玄武质,42.998,0.8475,1.473,0.8315,4.896,16.1549,2.500762
玄武质,48.475,4.2452,1.5883,0.9377,5.3216,19.888,2.616781
玄武质,36.447,5.0082,1.1259,1.089,3.2025,17.1168,2.740425
玄武质,43.568,3.1346,1.6538,1.1164,6.2915,21.821,2.618598
玄武质,35.015,0.4653,1.25,1.6687,6.752,19.0921,2.787531
玄武质,32.632,2.9205,1.6787,1.1384,3.2096,17.6086,2.7504
玄武质,58.363,4.5027,1.3212,1.3896,5.3293,14.5901,2.604718
玄武质,10.515,3.7476,1.1815,1.4881,5.4048,18.4197,2.592087
玄武质,22.386,0.3172,1.3498,0.6416,4.6054,17.6822,2.653228
玄武质,0.147,6.962,1.6644,0.6351,4.6349,18.5652,2.490962
玄武质,41.244,6.1181,1.0791,1.6395,3.4072,16.5894,2.53777
玄武质,52.146,4.7719,1.2485,0.5483,6.8176,19.2185,2.658724
玄武质,0.214,4.8988,1.4586,0.868,4.4682,21.4715,2.624205
玄武质,21.054,1.4797,0.7295,1.552,6.181,20.3009,2.674563
玄武质,32.365,6.8311,1.0945,1.1359,4.3941,16.3754,2.528922
玄武质,33.246,0.5725,1.4332,0.8962,5.994,14.4369,2.50695
玄武质,55.033,6.987,1.3523,1.2177,4.2335,15.6221,2.661118
玄武质,55.298,6.4254,1.0677,0.5471,3.8818,14.9377,2.510131
玄武质,39.824,3.5816,1.4047,1.3639,4.3978,20.9909,2.496877
玄武质,29.368,1.4753,0.8464,0.7977,6.3466,22.0129,2.559564
玄武质,26.267,2.0643,1.3307,0.79,6.6381,21.8865,2.656303
玄武质,8.148,0.1884,0.8208,1.4188,3.8212,16.0616,2.628492
玄武质,36.435,6.1244,1.5546,0.5612,3.4506,15.7844,2.549915
玄武质,8.471,4.9103,1.4114,0.6232,4.0978,20.9007,2.544523
玄武质,57.512,3.2374,1.5824,1.4557,5.3887,17.3022,2.501575
玄武质,41.354,2.5392,1.6849,0.9547,5.9915,16.2619,2.695354
玄武质,8.838,6.3213,0.8507,1.3956,5.5451,19.8369,2.521583
玄武质,37.352,5.1675,1.2396,0.5777,3.3611,14.4995,2.639353
玄武质,30.306,6.6912,1.4675,0.5412,4.4889,16.3248,2.740002
玄武质,59.356,1.919,1.6559,1.3056,3.5127,15.5789,2.538324
玄武质,1.74,3.8072,1.4539,1.1877,5.5212,16.1437,2.513814
玄武质,14.387,2.5662,0.9735,0.523,3.9432,16.0133,2.785667
玄武质,55.496,0.263,1.0081,1.5292,6.8469,16.3726,2.550164
玄武质,56.085,4.221,1.5022,1.4776,3.1269,15.4226,2.537256
玄武质,34.864,6.9825,1.3152,1.3441,5.7979,17.5426,2.633569
玄武质,56.157,4.3772,0.7389,1.4171,3.727,15.4654,2.780798
玄武质,19.971,0.422,1.134,1.4846,6.3964,14.8477,2.616929
玄武质,48.024,2.5809,0.9531,1.5854,5.7171,21.3746,2.661909
玄武质,29.234,4.8717,1.1776,0.5238,6.1812,18.0918,2.791436
玄武质,3.929,2.8965,1.3327,1.5402,5.6146,17.1898,2.775172
玄武质,16.275,4.1431,0.8674,1.4538,4.1526,16.2752,2.671839
玄武质,3.383,5.6161,1.1294,1.2464,4.4535,16.1892,2.559409
玄武质,36.771,5.4763,1.0547,0.5734,3.0442,16.4837,2.564219
玄武质,32.815,4.15,1.2009,0.5335,5.7315,16.0077,2.660305
玄武质,31.996,1.388,1.6295,0.8561,3.6519,19.4177,2.69451
玄武质,6.197,5.8532,1.1733,1.3464,3.5928,19.5705,2.736609
玄武质,38.243,4.7967,0.7484,0.6209,4.3576,18.0143,2.775755
玄武质,59.935,5.1338,1.2928,0.6645,6.7043,15.1162,2.501136
玄武质,18.295,6.994,0.7946,0.5514,6.2911,16.9811,2.55319
玄武质,30.349,5.5475,0.9329,1.1551,6.4881,14.6246,2.639705
玄武质,25.08,3.9257,0.8176,0.7273,3.2004,21.5082,2.698598
玄武质,58.717,6.3445,1.6495,1.0078,4.3151,16.26,2.737454
玄武质,32.543,1.0077,0.9308,1.3191,3.7931,21.567,2.523508
玄武质,26.0,4.4969,1.5069,1.417,6.0299,19.5505,2.540243
玄武质,4.86,3.2258,0.743,1.19,6.9702,19.4194,2.723826
玄武质,38.494,0.0707,1.2413,0.8258,4.8481,17.0631,2.751745
玄武质,41.733,4.1599,0.9482,1.6732,4.8741,19.5399,2.779436
玄武质,49.843,1.8103,1.5295,0.8,5.0842,14.6388,2.626929
玄武质,46.071,1.8118,0.9466,0.6428,6.1802,18.6797,2.733443
玄武质,51.635,2.6868,1.6952,1.0,3.4889,16.4632,2.648777
玄武质,26.99,1.4489,1.413,0.7532,4.11,16.2706,2.641383
玄武质,44.399,1.4577,1.3362,0.6105,6.1735,15.0602,2.723246
玄武质,46.25,6.3336,1.6922,0.576,4.4433,17.696,2.698599
玄武质,16.534,1.5298,0.8997,1.2733,6.1497,18.3694,2.751742
玄武质,59.209,1.0816,0.767,1.2113,5.8491,15.6418,2.572078
玄武质,28.744,5.2429,0.769,1.1791,4.4982,15.6949,2.51165
玄武质,41.084,2.9445,1.4707,0.8113,4.9927,21.6705,2.683952
玄武质,59.98,5.4668,1.3751,1.5113,6.3964,18.1748,2.584978
玄武质,7.115,6.5373,1.6751,0.7032,3.2373,21.8849,2.63351
玄武质,54.834,6.2181,1.2338,1.2021,4.4262,17.0802,2.525646
玄武质,11.097,0.8665,1.6601,1.5204,6.6028,14.7587,2.543812
玄武质,31.968,4.1194,1.215,1.657,3.896,18.7976,2.636665
玄武质,27.887,6.7814,1.595,0.6656,5.6171,14.6037,2.725178
玄武质,6.966,0.279,0.9654,1.0968,6.3262,19.3026,2.7946
玄武质,30.488,4.0996,1.2351,0.9564,4.7142,18.312,2.765109
玄武质,56.393,3.4056,1.4465,0.6201,6.1455,20.5979,2.65065
玄武质,52.777,2.1482,1.0553,1.0534,5.3303,15.4499,2.534514
玄武质,33.779,1.5543,1.1387,1.1939,3.9841,15.9754,2.58295
玄武质,44.616,5.2077,1.0835,0.5841,5.6766,20.1762,2.616827
玄武质,45.012,3.3742,1.5765,1.4293,3.3704,21.981,2.635219
玄武质,34.932,0.2876,1.5189,1.2135,4.3681,14.9262,2.730946
玄武质,12.709,5.3671,1.0917,1.6367,3.5825,17.8018,2.510356
玄武质,8.871,4.7237,1.5239,0.7165,3.7603,16.1803,2.687956
玄武质,52.089,2.0151,1.5498,1.3829,4.2156,15.0859,2.601843
玄武质,15.362,2.3796,1.1161,0.9045,6.7984,20.9747,2.600338
玄武质,55.562,0.3601,0.9675,1.3165,3.7045,21.653,2.656439
玄武质,43.383,1.081,1.2401,1.3424,4.7501,16.1846,2.59776
玄武质,0.33,4.0417,1.521,0.5846,4.5775,21.4114,2.615198
玄武质,10.689,5.9707,1.6552,1.3327,5.4488,17.2325,2.701291
玄武质,43.444,3.0611,1.1637,1.57,3.0843,19.7265,2.540036
玄武质,12.195,0.2404,1.2274,1.3732,3.309,14.7007,2.538914
玄武质,47.85,6.2504,1.1941,1.244,6.4627,14.8547,2.657013
玄武质,7.111,0.568,1.2531,1.0871,5.3043,18.9817,2.64938
玄武质,39.125,5.2273,0.8831,0.9134,4.6242,14.5406,2.549708
玄武质,57.7,2.8023,1.114,0.9768,6.3404,22.1449,2.513708
玄武质,59.252,1.6471,1.3327,1.3762,3.8234,15.1099,2.656974
玄武质,5.921,5.8968,1.1591,1.1338,6.8808,16.009,2.499383
玄武质,46.307,5.8193,0.7988,1.5556,6.3529,15.3845,2.527579
玄武质,49.879,1.6974,0.9326,1.5292,5.0059,15.4865,2.768868
玄武质,5.395,1.6404,1.5052,1.3539,4.6834,18.7212,2.493749
玄武质,48.601,3.2677,1.5211,1.0369,6.9713,17.166,2.730849
玄武质,51.849,3.4392,0.796,1.2404,5.6096,20.8375,2.685354
玄武质,28.374,5.074,0.8482,1.5143,3.4914,18.2463,2.767714
玄武质,23.367,3.2414,1.0216,0.7936,3.0166,22.1323,2.546236
玄武质,40.859,0.6375,0.8428,0.5911,4.0084,15.3854,2.797614
玄武质,6.353,0.5708,1.0007,1.3729,3.4834,15.2249,2.585002
玄武质,45.973,2.8319,1.5168,1.3342,4.8794,16.8887,2.752819
玄武质,45.815,3.3756,0.7126,1.0876,3.0563,17.0409,2.561699
玄武质,10.499,5.1668,1.2949,1.5167,4.0903,16.969,2.518522
玄武质,30.721,5.5067,0.7573,0.524,6.334,21.8594,2.500228
玄武质,40.59,4.6249,1.0492,1.5248,4.5371,18.7949,2.619048
玄武质,51.459,4.2469,1.506,1.4082,3.3492,17.0584,2.750361
玄武质,6.996,6.3567,0.7893,0.7143,4.7961,16.3935,2.520033
玄武质,47.758,1.6238,1.5868,1.5107,4.299,15.0401,2.492327
玄武质,5.44,5.9309,0.8622,1.0812,6.4564,17.269,2.714179
玄武质,55.617,3.6417,1.053,1.0697,6.0834,20.074,2.73853
玄武质,23.249,2.4247,0.9121,1.0127,3.5239,14.7862,2.511341
玄武质,16.886,1.8995,1.2356,1.3795,6.9337,18.3154,2.663918
玄武质,3.984,4.7484,0.8046,1.5111,3.6354,21.9266,2.737864
玄武质,10.212,3.1595,0.7108,1.3027,3.2118,17.0944,2.643754
玄武质,39.358,1.9301,1.3024,0.644,5.6836,16.8754,2.690805
玄武质,56.947,3.7026,0.8496,1.0258,6.5972,21.8566,2.607
玄武质,13.19,4.055,1.6597,1.6928,4.8351,16.617,2.596265
玄武质,33.737,3.4259,0.7125,1.553,5.526,16.0062,2.640214
玄武质,25.02,2.1619,1.1555,0.6487,6.9593,20.6882,2.534745
玄武质,10.052,4.101,1.0751,1.4826,5.5739,15.6701,2.654321
玄武质,40.758,5.0732,1.2875,1.6733,5.5459,16.6897,2.689166
玄武质,41.104,0.9492,1.3374,1.34,5.7738,17.671,2.54418
玄武质,29.951,0.3768,1.2157,1.5023,3.7291,20.5041,2.506883
玄武质,38.064,2.7626,1.3097,1.4356,4.5037,17.8704,2.535054
玄武质,14.299,6.8191,0.8858,0.9467,5.1195,20.6799,2.662832
玄武质,16.128,1.9842,1.3314,1.1816,3.394,22.0408,2.704308
玄武质,44.553,0.7509,1.0052,0.8042,3.6031,16.6466,2.540693
玄武质,52.874,3.0473,1.1688,0.9866,5.1462,19.5421,2.615279
玄武质,44.317,1.5333,1.1316,1.1602,4.9125,16.6988,2.673874
玄武质,52.338,3.7112,1.5992,0.9175,3.6122,14.478,2.5875
玄武质,44.126,5.5221,1.1217,0.9058,3.2418,14.9131,2.609984
玄武质,59.079,1.4568,1.6539,1.2333,6.794,20.0036,2.780075
玄武质,23.415,3.6721,1.6574,1.2871,6.7151,20.8956,2.675235
玄武质,58.199,3.9064,1.6583,1.2027,5.1811,21.8397,2.744247
玄武质,4.606,4.1734,0.8735,0.6567,5.8226,21.8353,2.756471
玄武质,54.032,3.0143,1.5745,0.7256,6.9153,16.3734,2.759111
玄武质,38.35,1.6197,0.9564,0.7627,3.4227,14.9375,2.66528
玄武质,33.144,5.9744,1.5142,1.5013,4.3395,20.2675,2.702635
玄武质,19.543,1.6722,1.5006,1.123,3.3316,21.6038,2.513952
玄武质,50.138,6.8966,1.4678,1.4036,5.3519,19.9368,2.67603
玄武质,10.309,2.6296,1.2778,1.2531,3.9379,16.8626,2.564234
玄武质,18.876,1.642,1.0533,0.9992,6.2549,15.0946,2.669794
玄武质,54.442,6.616,1.6462,1.6929,4.721,17.87,2.751033
玄武质,1.693,2.2669,1.1,0.5408,5.3749,16.2473,2.753693
玄武质,48.325,1.0408,1.3203,1.1955,3.1202,19.9434,2.513717
玄武质,22.73,6.3857,0.9301,0.6481,5.472,19.3117,2.507106
玄武质,28.511,1.972,1.3981,1.6673,6.5189,19.9613,2.659206
玄武质,11.699,0.2718,1.0758,1.2203,6.3276,22.0482,2.650762
玄武质,17.224,5.8013,1.6166,0.5033,4.2505,21.7094,2.611623
玄武质,1.242,0.2411,1.2399,0.8765,4.3996,17.267,2.747718
玄武质,44.773,4.4897,1.2764,0.6959,3.8564,20.8369,2.575886
玄武质,17.851,4.7539,0.9779,0.9725,5.67,17.3666,2.638535
玄武质,4.046,1.8366,1.4964,1.3402,3.2921,17.1452,2.748513
玄武质,35.417,2.194,1.1576,0.5232,3.6933,17.0548,2.576161
玄武质,33.132,2.6039,0.7985,1.197,6.7782,20.469,2.731307
玄武质,24.404,2.4101,1.2998,1.1064,4.4223,20.0731,2.527563
玄武质,35.086,1.4506,0.8961,1.3166,4.5169,20.2012,2.527058
玄武质,58.532,5.1294,0.7895,0.5522,3.5971,19.8584,2.578595
玄武质,25.346,5.0286,1.2369,1.3074,3.5139,21.059,2.616964
玄武质,42.751,1.4876,1.5341,1.0689,3.6117,21.2714,2.535032
玄武质,32.575,6.7451,0.8373,0.9938,5.0112,20.9498,2.727809
玄武质,56.096,0.6741,1.3873,1.6139,5.8031,20.2302,2.728592
玄武质,22.382,6.4032,0.8958,1.2024,4.278,17.3696,2.773467
玄武质,45.245,4.6248,1.648,0.9536,4.4214,14.9291,2.758197
玄武质,35.648,6.3347,0.9441,0.571,3.599,21.986,2.623752
玄武质,58.506,2.2565,1.6075,1.6702,4.7288,19.3416,2.790498
玄武质,47.051,3.8821,1.1108,1.5685,6.0344,18.8315,2.554708
玄武质,29.021,5.6911,1.3575,0.9247,4.6034,18.0474,2.637107
玄武质,51.368,2.7906,1.1455,1.4039,4.8508,19.0941,2.775055
玄武质,59.049,6.1886,1.5999,1.562,4.4558,17.2271,2.609225
玄武质,30.811,0.9021,1.0592,1.5034,3.4642,21.0124,2.746257
玄武质,43.099,5.3169,1.4051,0.7786,4.3765,16.2656,2.650728
玄武质,33.293,5.9641,1.5727,1.3417,6.1619,15.8017,2.562114
玄武质,10.809,0.5388,0.9176,0.7786,5.7294,19.5368,2.499396
玄武质,26.041,4.2734,1.6005,1.4841,4.3797,20.8429,2.695965
玄武质,2.555,6.8256,1.426,0.5444,3.0079,20.9211,2.67764
玄武质,0.858,6.5247,1.0524,1.0944,6.2278,19.8791,2.799521
玄武质,6.149,0.8746,1.4846,1.5871,3.9986,21.7852,2.641333
玄武质,10.289,3.9386,1.2928,0.923,5.7963,15.5155,2.544048
玄武质,2.27,2.756,1.5501,0.7381,5.2094,20.1953,2.577653
玄武质,19.305,2.3684,1.5218,1.5378,3.3149,19.9648,2.539652
玄武质,42.816,3.6814,1.6079,1.2939,3.6578,20.3259,2.567398
玄武质,4.283,6.95,1.1177,1.1684,5.7997,15.3625,2.528624
玄武质,38.917,0.342,0.8873,1.2501,5.8973,20.0161,2.651584
玄武质,47.264,1.5288,1.6812,0.517,5.5054,22.1294,2.739126
玄武质,10.831,2.3362,1.1949,1.0627,5.7852,22.0449,2.519205
玄武质,48.052,5.9751,1.6226,0.8273,3.5099,15.258,2.5911
玄武质,9.875,5.7708,1.1136,0.6069,3.5113,20.0168,2.784929
玄武质,22.358,6.758,1.0787,1.2573,3.1514,21.21,2.633851
玄武质,32.783,3.752,0.8025,1.1995,5.8814,17.6892,2.777336
玄武质,28.782,0.594,0.935,1.2386,3.7165,20.6185,2.605707
玄武质,23.843,4.3738,1.641,0.9347,3.3244,16.158,2.777141
玄武质,42.63,2.4593,1.4897,0.8218,4.61,18.4168,2.763089
玄武质,52.827,4.9022,1.5525,0.9009,3.431,15.179,2.606209
玄武质,1.446,2.7154,1.4013,1.2246,4.911,21.4926,2.697117
玄武质,57.102,3.546,1.4141,0.8598,5.7781,14.9358,2.637217
玄武质,28.264,3.0038,0.7008,1.1164,3.606,21.9353,2.569409
玄武质,25.056,3.1597,0.8274,1.4423,3.8327,21.5751,2.52748
玄武质,34.993,6.849,0.9714,0.7411,3.4862,17.8002,2.732805
玄武质,19.106,3.1704,1.4674,0.9198,6.7268,18.3512,2.500678
玄武质,53.927,4.4147,0.926,1.1984,5.9892,19.3667,2.651445
玄武质,58.061,2.38,0.8198,1.6497,6.8761,17.1827,2.570563
玄武质,12.895,3.288,1.1732,1.3274,5.4694,20.1571,2.695417
玄武质,26.538,6.0818,1.107,1.4537,4.6154,16.3022,2.51849
玄武质,27.063,2.6865,1.2636,0.7184,5.6013,16.8325,2.714461
玄武质,6.196,6.6342,1.0772,0.5127,6.2857,20.1145,2.554617
玄武质,26.441,1.1189,1.2217,0.7546,5.9058,19.289,2.667913
玄武质,28.792,5.4899,0.9724,1.5851,3.438,18.2912,2.737101
玄武质,26.738,3.4896,1.1993,0.6585,4.4714,20.5182,2.519481
玄武质,2.378,3.2678,1.6449,1.5669,3.1588,20.8179,2.66584
玄武质,5.219,4.2045,0.7282,1.6027,5.8357,16.4894,2.534885
玄武质,26.694,1.055,1.0688,1.033,6.1822,17.0544,2.555575
玄武质,58.992,6.5712,1.3337,0.8464,4.8543,18.6551,2.583481
玄武质,56.744,6.9193,1.069,1.5937,6.0884,17.7304,2.621826
玄武质,7.489,2.9097,1.0141,0.5821,6.6822,20.3872,2.526504
玄武质,13.272,1.9517,1.375,1.5836,6.9014,19.421,2.587304
玄武质,45.945,3.4836,1.5732,1.5596,3.4819,19.4999,2.725023
玄武质,18.817,6.3142,1.1036,0.9491,6.4428,20.566,2.758688
玄武质,43.801,2.9669,1.2674,1.4783,6.372,21.8057,2.508385
玄武质,52.39,4.6319,0.7724,1.0347,5.7525,16.7995,2.644612
玄武质,27.401,5.3216,0.7853,1.4913,5.5367,17.7578,2.650989
玄武质,48.084,2.623,0.8917,1.6759,6.3869,14.4389,2.649799
玄武质,42.814,6.948,1.418,0.8589,6.1201,20.1006,2.695955
玄武质,16.929,5.7815,0.8098,0.9009,6.5136,21.7686,2.730568
玄武质,44.679,3.729,0.8599,0.8789,6.3081,15.3925,2.534706
玄武质,54.562,1.4608,0.7202,1.0489,6.9275,20.2186,2.642703
玄武质,36.168,3.5997,1.3925,0.7103,6.6634,14.6959,2.714542
玄武质,54.068,4.281,1.5876,0.9034,6.5105,16.4448,2.7123
玄武质,25.006,0.4584,1.6469,1.1695,6.2931,21.8541,2.612011
玄武质,2.731,4.0216,1.5721,1.0676,4.7549,19.5772,2.775592
玄武质,49.319,5.8772,1.3384,0.6837,5.3599,14.7974,2.713432
玄武质,29.444,0.8447,0.883,0.7837,4.6598,17.8973,2.698029
玄武质,44.655,2.1484,1.2474,0.6911,6.6125,15.0701,2.789601
玄武质,54.79,5.9649,1.6905,0.9191,5.4429,20.6719,2.562912
玄武质,5.901,6.1045,0.7358,0.7113,6.8964,16.865,2.594772
玄武质,25.334,6.3949,0.981,1.2554,6.5045,16.6471,2.536194
玄武质,12.478,2.0656,0.9156,1.2238,5.3114,20.1106,2.688648
玄武质,10.492,3.2755,1.0285,1.0165,3.6127,18.9431,2.76539
玄武质,22.689,0.3669,1.5019,1.0595,4.5734,17.9539,2.630427
玄武质,3.916,3.4487,1.6838,1.1092,3.2994,14.8009,2.659424
玄武质,9.668,2.524,1.277,1.341,5.5194,16.5107,2.508027
玄武质,10.872,3.2092,1.0666,1.5531,4.9198,17.1791,2.557976
玄武质,45.786,1.7547,1.2826,0.8196,6.1387,22.1212,2.520994
玄武质,37.786,5.301,1.221,0.8701,6.3582,18.2789,2.501409
玄武质,20.762,0.4851,0.9599,0.7126,6.0205,19.0447,2.713161
玄武质,56.127,6.3205,1.1274,0.82,5.2382,17.2912,2.51122
玄武质,35.501,4.9873,0.8635,1.6461,3.1041,17.196,2.720928
玄武质,37.917,3.8145,0.9778,0.5472,4.3626,18.7423,2.749679
玄武质,42.355,4.2868,1.025,1.6412,3.2683,18.8269,2.768187
玄武质,54.919,2.3912,0.773,0.7552,6.6035,16.981,2.508905
玄武质,38.779,0.8268,1.2462,1.1538,4.4757,14.8139,2.62829
玄武质,12.694,6.3748,1.0161,1.1374,3.7019,17.4574,2.549852
玄武质,4.228,3.1766,1.4608,1.0738,6.7615,14.6094,2.586013
玄武质,54.706,4.0704,1.4876,0.7977,4.5238,16.2576,2.677106
玄武质,6.873,2.1053,0.7395,0.5338,4.2611,17.5136,2.603774
玄武质,40.995,3.7344,0.7306,1.3761,6.7914,15.4212,2.780766
玄武质,42.864,5.5896,1.2358,0.7512,5.7978,15.6429,2.542623
玄武质,44.043,5.0371,1.3157,1.206,5.3954,18.4568,2.774385
玄武质,46.018,1.0175,0.7096,1.068,5.4957,16.5412,2.662782
玄武质,44.555,5.6024,0.8831,1.5627,6.8538,20.8081,2.592328
玄武质,59.888,3.2704,1.0705,1.3861,3.9023,17.4488,2.608843
玄武质,24.211,3.4541,0.9455,1.3107,5.8749,20.3888,2.756893
玄武质,52.51,1.4345,1.5423,1.3594,4.317,18.3134,2.723672
玄武质,36.623,4.5588,0.983,0.8355,4.7462,17.913,2.550439
玄武质,10.192,0.2648,0.7684,0.8716,5.3191,16.8974,2.797588
